1.5899,1.58613,1.18764,0.24824,-0.576163,0.156434,1,0.72999,-0.0280473,-0.446958,-0.274408,0.695231,3.1986,0.492411.18764
1.87231,1.86391,1.16901,0.899163,-1,-0.536055,-0.825197,-0.270687,-0.385886,-0.0956319,0.24524,0.763474,2.44556,0.4055391.16901
3.12172,3.08178,12.605,1,1,-1,-0.955458,1,-1,0.511086,-1,1.49722,2.2958,0.0022871112.605
1.8999,1.89781,1.26186,-0.535903,0.555357,0.98373,1,-0.953743,0.629338,-0.176385,0.953612,0.735073,2.17083,0.5267851.26186
1.748,1.74794,1.27256,-0.522929,-0.584793,0.521812,-0.756294,0.366905,-0.685882,0.376597,-0.230262,0.892203,3.21459,0.3803551.27256
0.000642061,0.00052,1.13576,0.173946,-0.842356,0.990179,-0.546457,0.34069,0.700827,-0.281073,0.393928,0.684693,3.12462,0.4510661.13576
17.4481,17.3739,5.57934,-0.248241,-0.0899389,-0.585574,-0.971791,0.0576171,-0.328886,0.198156,-0.450234,0.800869,2.97487,0.2617125.57934
21.2899,64.8029,2.46684,-0.507601,-0.650754,-1,0.9804,0.0398733,-0.68531,1,1,0.87167,1.17503,1.595172.46684
120.921,120.893,1.08722,0.290501,-1,1,-0.185106,0.262846,-0.995513,0.488988,0.734909,0.675059,2.82147,0.4121571.08722
346.818,1316.9,1.21386,0.159074,-0.99999,1,-0.559284,1,-0.733764,-0.646794,-0.462946,0.704382,3.33363,0.5094781.21386
1.29455,1.29447,1.09754,-0.0716138,0.867063,-0.504736,-0.105758,-0.289974,0.0719259,0.593154,0.271724,0.675714,2.58686,0.4218241.09754
1.30654,1.29858,1.27082,-0.2067,0.273723,0.270041,1,0.589909,1,-0.347413,0.0580507,0.716559,3.40937,0.5542591.27082
3.55495,13.5224,1.16012,0.623942,-0.0945266,-0.213461,0.581825,-0.0152572,0.138373,-0.855831,0.207444,0.761011,2.49902,0.3991051.16012
1.41262,1.40933,1.2571,0.162445,0.532357,0.569556,-1,-0.538665,-1,0.494316,-0.12537,0.731463,2.0261,0.5256331.2571
3.7816,14.4198,1.29193,-0.222268,-0.727599,-0.33322,0.157423,0.558023,0.403439,0.311222,0.419449,0.830613,3.47199,0.4613181.29193
